iter	RMSE
0	1.257471419
1	1.237103455
2	1.217558465
3	1.199052747
4	1.181665483
5	1.167551574
6	1.151963199
7	1.136835178
8	1.121308765
9	1.108147555
10	1.094542552
11	1.084024787
12	1.072020422
13	1.062267467
14	1.050782677
15	1.042480276
16	1.034129923
17	1.024459219
18	1.014465522
19	1.00649212
20	0.9982418567
21	0.9916472132
22	0.9831896866
23	0.976890479
24	0.9719079795
25	0.9639588529
26	0.9584371431
27	0.9523507322
28	0.9459445419
29	0.9406095985
30	0.9357702696
31	0.9306996663
32	0.9253185473
33	0.9219311941
34	0.9184886775
35	0.9142684911
36	0.9112434087
37	0.9066366496
38	0.9029035411
39	0.8992706146
40	0.8949881713
41	0.8907406502
42	0.8875348833
43	0.8837624044
44	0.8817618681
45	0.8776764444
46	0.8747248337
47	0.8720813028
48	0.8700470364
49	0.8676256225
50	0.8654302389
51	0.8629480635
52	0.8600309531
53	0.8579057278
54	0.8561662019
55	0.8537253165
56	0.8515384824
57	0.8493294402
58	0.8475382343
59	0.8458175241
60	0.8436675724
61	0.8418824028
62	0.8396545303
63	0.838103973
64	0.8367198068
65	0.8353999652
66	0.8333347573
67	0.8315148973
68	0.829707316
69	0.8284927187
70	0.8270824003
71	0.8252469597
72	0.8231325649
73	0.8220367331
74	0.8209789636
75	0.8187544265
76	0.8164068574
77	0.8146658233
78	0.8134801408
79	0.812407137
80	0.8112890166
81	0.8099593909
82	0.8080453137
83	0.8064334592
84	0.8054611413
85	0.8046659673
86	0.8033676528
87	0.802236142
88	0.8008871361
89	0.7995442514
90	0.7989907859
91	0.7974986658
92	0.7965492607
93	0.794840351
94	0.7938942407
95	0.7924332808
96	0.7912752424
97	0.7900556987
98	0.7893414738
99	0.7875436673
100	0.7866278551
101	0.7853594573
102	0.7844783291
103	0.7831408429
104	0.7824827003
105	0.7816953304
106	0.7805521025
107	0.7793182672
108	0.7782229913
109	0.777409151
110	0.776094384
111	0.7754235494
112	0.7744736552
113	0.7728861656
114	0.7723725187
115	0.7718274829
116	0.7711535057
117	0.7703521611
118	0.7698186589
119	0.7684580046
120	0.767505991
121	0.7664743034
122	0.7656672502
123	0.7648401553
124	0.7640646083
125	0.7631729329
126	0.7623987727
127	0.7616967371
128	0.7604775022
129	0.7601892204
130	0.7596817439
131	0.7592227767
132	0.7575316002
133	0.7566492526
134	0.7559511797
135	0.7543578793
136	0.7530625413
137	0.7522041336
138	0.7515346232
139	0.7507999228
140	0.7496193308
141	0.7491366704
142	0.7485193237
143	0.7474935597
144	0.7466208459
145	0.7461583772
146	0.7453398042
147	0.7447765532
148	0.7442239907
149	0.7436017997
150	0.7430307893
151	0.7425947611
152	0.7416969565
153	0.7413066865
154	0.7402794502
155	0.7397062585
156	0.7390232744
157	0.7385036085
158	0.7379750739
159	0.7374709257
160	0.7366508603
161	0.7359504026
162	0.7345756908
163	0.7338788484
164	0.7322465585
165	0.7318610925
166	0.7306519712
167	0.730048229
168	0.729066506
169	0.7283793695
170	0.7280813625
171	0.7277195469
172	0.727367708
173	0.7267483182
174	0.7260224545
175	0.7250621306
176	0.724535425
177	0.7236673722
178	0.7231043757
179	0.7216693875
180	0.7207131652
181	0.7203674763
182	0.7199477235
183	0.7194811772
184	0.7187397503
185	0.7182115848
186	0.7176521636
187	0.7164062464
188	0.7155225992
189	0.7152034483
190	0.7149668059
191	0.7146825905
192	0.7138754385
193	0.7131770992
194	0.7125999253
195	0.7121596043
196	0.7115621552
197	0.7110931681
198	0.709253557
199	0.7085505648
200	0.7077991793
201	0.707322455
202	0.7069235729
203	0.7064244377
204	0.7058817325
205	0.7053585316
206	0.7050842038
207	0.7045946509
208	0.7039996626
209	0.7031098052
210	0.702505561
211	0.7015037392
212	0.7007698263
213	0.700028168
214	0.6994494045
215	0.6991816364
216	0.6988390755
217	0.6982340357
218	0.6978026398
219	0.6970767522
220	0.6966871496
221	0.6961227178
222	0.6948957023
223	0.6942952509
224	0.6939742645
225	0.6937023583
226	0.6930624846
227	0.6926155158
228	0.6917853812
229	0.6913724669
230	0.69086246
231	0.6904814749
232	0.6895093586
233	0.6892513425
234	0.6889308565
235	0.6883067555
236	0.6877029153
237	0.6871568649
238	0.686752756
239	0.686421107
240	0.6860956007
241	0.6858932802
242	0.6847826443
243	0.6843256056
244	0.6838463721
245	0.6832262186
246	0.6829526187
247	0.6825943169
248	0.6821226603
249	0.6816484763
250	0.6813437088
251	0.6806599243
252	0.6793246905
253	0.6790924086
254	0.6787792079
255	0.6781352626
256	0.6768777578
257	0.6764861398
258	0.6756796289
259	0.6754466331
260	0.6747203803
261	0.6739496423
262	0.6729319052
263	0.6727527457
264	0.6720976279
265	0.671648038
266	0.6703512867
267	0.670066253
268	0.66983229
269	0.6695935236
270	0.6683928393
271	0.6680442728
272	0.6669231382
273	0.6665347392
274	0.6660315034
275	0.6658502756
276	0.6650135706
277	0.6644128244
278	0.6642426308
279	0.6636443894
280	0.6630404408
281	0.6628753833
282	0.6618845467
283	0.661260247
284	0.6601446415
285	0.6594550852
286	0.658678115
287	0.6585219549
288	0.6581388531
289	0.6579616414
290	0.6569580456
291	0.6568371467
292	0.6566617858
293	0.656221904
294	0.6556277012
295	0.6550451746
296	0.6548978074
297	0.6546367134
298	0.6541753326
299	0.653614479
