iter	RMSE
0	0.9807498219
1	0.9629112825
2	0.9460693662
3	0.9307490301
4	0.9163240392
5	0.9030122784
6	0.8907144557
7	0.8793700085
8	0.8687581749
9	0.8589233857
10	0.8495909234
11	0.8405702266
12	0.8325715542
13	0.8251577827
14	0.8178902654
15	0.8110589438
16	0.8049587172
17	0.7992331426
18	0.7939937244
19	0.7887094911
20	0.7837159796
21	0.779323343
22	0.7751391434
23	0.7713477428
24	0.7676391101
25	0.7641862805
26	0.7610267115
27	0.7580315149
28	0.7552356565
29	0.7525266087
30	0.749954559
31	0.7475521325
32	0.7453167939
33	0.7431403921
34	0.7410746804
35	0.7392285356
36	0.7374394483
37	0.7357134357
38	0.7339937089
39	0.7324530723
40	0.7310227991
41	0.7296219786
42	0.7282280029
43	0.7268632846
44	0.725632517
45	0.7244335287
46	0.7232958285
47	0.7222536656
48	0.7211481529
49	0.7199405301
50	0.7189700822
51	0.7180601052
52	0.7170441112
53	0.7162052471
54	0.715384973
55	0.7146098411
56	0.7138468299
57	0.7130623485
58	0.7123494033
59	0.7115858808
60	0.7108774579
61	0.7101980743
62	0.7095346034
63	0.708836249
64	0.7082987745
65	0.7077921105
66	0.7072798123
67	0.7066101149
68	0.7059644971
69	0.7054368568
70	0.7048419554
71	0.7042462703
72	0.703769619
73	0.7033860121
74	0.7027175122
75	0.7022122863
76	0.7016633168
77	0.7013585453
78	0.7008819703
79	0.7003582904
80	0.6999163597
81	0.699452567
82	0.6990929415
83	0.6987642033
84	0.6983343405
85	0.69788513
86	0.6974709816
87	0.6971859688
88	0.6968394359
89	0.6964181885
90	0.6959913331
91	0.6955639337
92	0.6952104581
93	0.6947726605
94	0.694453993
95	0.6940759096
96	0.6937944387
97	0.6934351087
98	0.6932326486
99	0.6928792457
100	0.6925235107
101	0.6921568334
102	0.6918232221
103	0.691549351
104	0.6911894927
105	0.6909246015
106	0.6906343456
107	0.6903544117
108	0.6900771892
109	0.6898502594
110	0.6895827634
111	0.6893146404
112	0.6889790205
113	0.6885793554
114	0.6883197279
115	0.6880056693
116	0.6877569006
117	0.6874892086
118	0.6872430127
119	0.686979676
120	0.6866985688
121	0.6864108935
122	0.6861887281
123	0.6859102963
124	0.6856873045
125	0.6854181629
126	0.6852238938
127	0.6849679887
128	0.684742512
129	0.6845421865
130	0.684263225
131	0.6839909502
132	0.683765227
133	0.6834912534
134	0.6832548814
135	0.6830868587
136	0.6828480995
137	0.6826634335
138	0.6824945695
139	0.6822795117
140	0.6821512106
141	0.6819373874
142	0.6817340517
143	0.6815338267
144	0.6812698819
145	0.6810622682
146	0.6808375471
147	0.6806081254
148	0.6803984518
149	0.6801372299
150	0.6799199482
151	0.6797493974
152	0.6796336647
153	0.6794311016
154	0.6792084933
155	0.6790352961
156	0.6789266869
157	0.6787676599
158	0.6786004738
159	0.6784179683
160	0.6782545934
161	0.6780829995
162	0.6778924615
163	0.6777183589
164	0.6774749067
165	0.6772817624
166	0.677151589
167	0.6769684511
168	0.6768091021
169	0.6766277629
170	0.6764708526
171	0.676310565
172	0.6761082079
173	0.6759313869
174	0.6757837795
175	0.6756339667
176	0.6754739105
177	0.6753608555
178	0.6752183025
179	0.6750604323
180	0.6749209824
181	0.6747935673
182	0.6746489674
183	0.6745044003
184	0.6744107025
185	0.6742606753
186	0.6741149882
187	0.6739541646
188	0.6738477223
189	0.6737028949
190	0.6735637283
191	0.6734548512
192	0.6733217853
193	0.6731564369
194	0.6730040533
195	0.6728434817
196	0.6727341088
197	0.6725854368
198	0.6724687778
199	0.6723349727
200	0.6721396198
201	0.6720204589
202	0.6718973455
203	0.671766524
204	0.6716119599
205	0.6714701696
206	0.6713466216
207	0.6711962633
208	0.6710965327
209	0.6709779352
210	0.6708638161
211	0.6707381435
212	0.6706218672
213	0.6705576474
214	0.6704587312
215	0.6703139701
216	0.6701926501
217	0.670119563
218	0.6699995681
219	0.6698621981
220	0.6697426488
221	0.6696252684
222	0.6695299863
223	0.669446163
224	0.6693376787
225	0.6692305018
226	0.6691521279
227	0.6690485405
228	0.6689079303
229	0.6687892785
230	0.6686542365
231	0.668571884
232	0.6684618391
233	0.6683629753
234	0.6682733204
235	0.6681707798
236	0.6680645567
237	0.6679884066
238	0.6678843673
239	0.6678035586
240	0.6677371918
241	0.6676086699
242	0.6674958249
243	0.6673849258
244	0.6672721686
245	0.6671999763
246	0.6671214846
247	0.6670219472
248	0.6669478891
249	0.6668557465
