iter	Passed	Remaining
0	184	46022
1	292	36311
2	399	32915
3	500	30779
4	613	30066
5	722	29363
6	852	29599
7	994	30077
8	1104	29573
9	1221	29304
10	1322	28731
11	1429	28347
12	1541	28106
13	1646	27759
14	1753	27464
15	1865	27277
16	1974	27064
17	2091	26951
18	2183	26549
19	2295	26400
20	2399	26162
21	2524	26166
22	2629	25953
23	2730	25710
24	2831	25482
25	2940	25332
26	3061	25288
27	3178	25197
28	3279	24995
29	3394	24891
30	3504	24754
31	3604	24555
32	3715	24429
33	3828	24324
34	3931	24151
35	4038	24004
36	4147	23876
37	4250	23714
38	4360	23594
39	4480	23521
40	4573	23311
41	4682	23187
42	4776	22992
43	4897	22930
44	5014	22845
45	5129	22747
46	5234	22607
47	5341	22477
48	5431	22279
49	5551	22207
50	5666	22111
51	5776	21993
52	5881	21860
53	5985	21724
54	6076	21545
55	6185	21428
56	6286	21284
57	6390	21153
58	6487	21001
59	6598	20894
60	6691	20732
61	6801	20625
62	6898	20476
63	7008	20367
64	7109	20234
65	7211	20103
66	7310	19966
67	7421	19863
68	7536	19770
69	7640	19648
70	7747	19532
71	7847	19401
72	7949	19275
73	8046	19136
74	8157	19034
75	8272	18939
76	8382	18833
77	8474	18687
78	8584	18581
79	8687	18461
80	8786	18331
81	8900	18235
82	8997	18103
83	9087	17959
84	9189	17837
85	9294	17724
86	9396	17604
87	9485	17461
88	9582	17334
89	9685	17218
90	9804	17130
91	9898	17000
92	9999	16880
93	10118	16792
94	10215	16667
95	10313	16544
96	10400	16404
97	10516	16311
98	10609	16181
99	10739	16108
100	10853	16010
101	10973	15922
102	11069	15798
103	11175	15688
104	11272	15566
105	11380	15459
106	11490	15356
107	11583	15230
108	11677	15105
109	11781	14995
110	11881	14878
111	11995	14780
112	12088	14655
113	12196	14550
114	12320	14463
115	12437	14367
116	12546	14262
117	12664	14166
118	12760	14047
119	12877	13950
120	12973	13830
121	13069	13711
122	13165	13593
123	13264	13478
124	13381	13381
125	13480	13266
126	13574	13146
127	13672	13031
128	13770	12916
129	13872	12805
130	13968	12689
131	14070	12578
132	14163	12459
133	14275	12358
134	14376	12246
135	14480	12138
136	14574	12021
137	14677	11912
138	14774	11798
139	14871	11684
140	14962	11566
141	15061	11454
142	15162	11345
143	15267	11238
144	15376	11134
145	15489	11033
146	15574	10912
147	15685	10810
148	15785	10700
149	15895	10596
150	15991	10484
151	16090	10374
152	16192	10265
153	16296	10158
154	16395	10048
155	16504	9944
156	16597	9831
157	16719	9735
158	16835	9635
159	16942	9530
160	17048	9424
161	17155	9318
162	17245	9204
163	17347	9096
164	17468	8998
165	17588	8900
166	17679	8786
167	17779	8678
168	17886	8572
169	17985	8463
170	18086	8355
171	18180	8244
172	18283	8137
173	18385	8030
174	18478	7919
175	18580	7812
176	18669	7699
177	18766	7590
178	18856	7479
179	18960	7373
180	19057	7264
181	19166	7161
182	19251	7048
183	19345	6939
184	19440	6830
185	19534	6721
186	19634	6614
187	19737	6509
188	19827	6399
189	19932	6294
190	20023	6185
191	20128	6080
192	20230	5974
193	20344	5872
194	20450	5768
195	20555	5663
196	20653	5556
197	20758	5451
198	20855	5344
199	20960	5240
200	21054	5132
201	21148	5025
202	21243	4918
203	21352	4814
204	21455	4709
205	21568	4606
206	21677	4502
207	21800	4401
208	21899	4296
209	21995	4189
210	22094	4083
211	22201	3979
212	22300	3873
213	22388	3766
214	22482	3659
215	22586	3555
216	22676	3448
217	22762	3341
218	22859	3235
219	22961	3131
220	23064	3026
221	23170	2922
222	23267	2817
223	23366	2712
224	23466	2607
225	23572	2503
226	23664	2397
227	23766	2293
228	23862	2188
229	23956	2083
230	24058	1978
231	24173	1875
232	24284	1771
233	24393	1667
234	24481	1562
235	24586	1458
236	24686	1354
237	24777	1249
238	24885	1145
239	24981	1040
240	25078	936
241	25170	832
242	25260	727
243	25357	623
244	25454	519
245	25554	415
246	25647	311
247	25743	207
248	25834	103
249	25937	0
