Rank,Model,MAE,RMSE,R2,RMSLE,Fit Seconds
1,LightGBM,98791.57579463809,184927.70746173908,0.5721121334010497,0.9507147906229185,39.74
2,XGBoost,99469.45511364551,186165.35741389683,0.5663655903108036,0.8694191368341201,41.19
3,HistGradientBoosting,99842.4861617434,186497.59869786698,0.5648164319289473,0.9458894118482265,114.57
4,Random Forest,98301.40438048792,186855.32833293505,0.5631453394675987,0.7878865683946356,145.14
5,CatBoost,102672.11799729885,190671.63345646264,0.5451186049253116,0.9561400236666084,21.65
6,Neural Network,100221.30169815313,192129.09923889462,0.5381379346052078,0.9474206475685567,22.43
7,Gradient Boosting,111871.37254021644,203692.63535773964,0.4808693698706211,0.9667758296545061,252.46
8,Linear Regression,121850.01938156312,212500.5466472613,0.43500305022456887,3.5891398480193457,22.59
9,Ridge Regression,121847.90581931229,212501.3348842834,0.4349988586839241,3.58963781946237,4.27
10,PCA + Linear Regression,132745.91535563656,230018.67168821942,0.3380088517465931,2.7239922612806327,15.72
