Split,Model,Loan Size,Rows,Actual Mean,Actual Median,Predicted Mean,MAE,Median AE,RMSE,R2,Mean Error (Pred - Actual)
Train,HistGradientBoosting,Small (<$50K),223397,28551.00815588392,25000.0,60381.783466420435,35394.96641146123,21424.072237523564,57626.50424529973,-13.979401417730555,31830.77531053652
Train,HistGradientBoosting,Medium ($50K-$250K),224933,128183.68220314494,110000.0,174928.3212211373,82518.1229475714,52848.671360991895,123271.83921656308,-4.072162479790532,46744.63901799242
Train,HistGradientBoosting,Large (>$250K),127134,595729.9370585367,475121.0,457430.13885859755,233889.35816137673,161902.67252245685,343462.17405546893,0.16621274874615055,-138299.79819993913
Train,LightGBM,Small (<$50K),223397,28551.00815588392,25000.0,59833.49761843615,34891.22264374468,21252.80358905258,56752.10356464446,-13.52826778870408,31282.489462552225
Train,LightGBM,Medium ($50K-$250K),224933,128183.68220314494,110000.0,174204.06845530088,81704.6958725312,52352.72081433254,121941.45338788838,-3.9632727237776404,46020.38625215596
Train,LightGBM,Large (>$250K),127134,595729.9370585367,475121.0,459460.7294675239,231246.88960521415,160487.2157705038,338665.5713387364,0.18933855511607756,-136269.20759101273
Train,XGBoost,Small (<$50K),223397,28551.00815588392,25000.0,59716.8515625,35111.88780267189,21268.046875,56960.74980357296,-13.635289040571983,31165.84593377323
Train,XGBoost,Medium ($50K-$250K),224933,128183.68220314494,110000.0,174894.953125,81199.48800273733,51758.953125,121134.13547160593,-3.897771209104609,46711.25032593999
Train,XGBoost,Large (>$250K),127134,595729.9370585367,475121.0,458613.96875,230473.6783809154,159013.90625,337334.9807392833,0.19569609250092346,-137115.98115495694
Validation,HistGradientBoosting,Small (<$50K),56006,28606.7171017391,25000.0,60427.810395519045,35404.15663471802,21354.404659329084,57968.90437908236,-14.021973180391669,31821.09329377995
Validation,HistGradientBoosting,Medium ($50K-$250K),56094,128263.80361535994,110000.0,176175.13065134318,83755.48603432869,53443.23702987519,125729.92111773664,-4.265334090320699,47911.327035983275
Validation,HistGradientBoosting,Large (>$250K),31767,594090.2668492461,476000.0,453893.2028463757,237274.00489655376,163197.71385860303,349310.7510098327,0.1224929187406103,-140197.06400287044
Validation,LightGBM,Small (<$50K),56006,28606.7171017391,25000.0,59946.68146486436,34965.747997518585,21215.265616998076,57104.92811260381,-13.577531083730483,31339.964363125266
Validation,LightGBM,Medium ($50K-$250K),56094,128263.80361535994,110000.0,175562.24569925378,83051.90923854422,52989.265884268665,124647.38626144831,-4.175055348006861,47298.44208389386
Validation,LightGBM,Large (>$250K),31767,594090.2668492461,476000.0,455439.615530258,235994.02691797222,162771.07291184738,347107.86556798866,0.13352580166813477,-138650.65131898804
Validation,XGBoost,Small (<$50K),56006,28606.7171017391,25000.0,59956.7578125,35291.811925465496,21269.390625,57625.15651108358,-13.844344809740816,31350.037400074125
Validation,XGBoost,Medium ($50K-$250K),56094,128263.80361535994,110000.0,176558.765625,82768.54743567169,52354.984375,124491.49489472128,-4.162118984189797,48294.946807529464
Validation,XGBoost,Large (>$250K),31767,594090.2668492461,476000.0,454709.1875,236019.57510152046,160638.84375,348830.935643523,0.12490196116440988,-139381.06324468
Test,HistGradientBoosting,Small (<$50K),69933,28625.453576995125,25000.0,60546.86475316581,35489.58127397035,21449.336270236323,58691.78672332346,-14.471586033677427,31921.4111761707
Test,HistGradientBoosting,Medium ($50K-$250K),70098,128134.75746811606,110000.0,175560.74922610293,83473.36328489894,52724.805859703105,125643.53613358711,-4.271526513523312,47425.9917579869
Test,HistGradientBoosting,Large (>$250K),39802,594327.3121451184,475000.0,455465.6233759695,237138.35804728395,162718.88981500524,347625.72022827464,0.133724043718786,-138861.6887691488
Test,LightGBM,Small (<$50K),69933,28625.453576995125,25000.0,60084.98934123362,35054.64870636377,21232.6192309116,58031.35661630275,-14.125356577977566,31459.535764238488
Test,LightGBM,Medium ($50K-$250K),70098,128134.75746811606,110000.0,174946.39701338328,82796.34328919112,52325.06809038653,124739.71618831085,-4.195957580385022,46811.63954526722
Test,LightGBM,Large (>$250K),39802,594327.3121451184,475000.0,457086.9110724453,235646.490951821,161004.12588110392,345620.7956859289,0.14368768733150894,-137240.40107267306
Test,XGBoost,Small (<$50K),69933,28625.453576995125,25000.0,60043.52734375,35352.40963551254,21346.71875,58518.365123623626,-14.380290697575669,31418.07426290826
Test,XGBoost,Medium ($50K-$250K),70098,128134.75746811606,110000.0,175756.25,82428.67328134835,51753.0078125,124239.15405393999,-4.1543400237311525,47621.49628795106
Test,XGBoost,Large (>$250K),39802,594327.3121451184,475000.0,455979.78125,235875.97727579644,160446.421875,346966.73956047697,0.13700526255378942,-138347.5401840674
