Split,Strategy,Model,Segment,Rows,Actual Mean,Actual Median,Predicted Mean,MAE,Median AE,RMSE,R2,RMSLE,Mean Error (Pred - Actual)
Train,Tuned Best-by-Segment,HistGradientBoosting,Small (<$50K),223397,28551.00815588392,25000.0,28531.39477369999,9661.207100870868,8794.076560522954,11725.517680372266,0.3798254207234295,0.5296550562965892,-19.61338218393312
Train,Tuned Segment Ensemble,Weighted Ensemble,Small (<$50K),223397,28551.00815588392,25000.0,28544.664161509518,10032.089815683152,9274.575750940105,12076.379650524976,0.34215523302190476,0.5481377253536356,-6.343994374407957
Train,Tuned Best-by-Segment,HistGradientBoosting,Medium ($50K-$250K),224933,128183.68220314494,110000.0,128210.36779496528,36131.07862369199,30196.29106193199,45531.1453814479,0.3080375035787095,0.35966935766853675,26.685591820344214
Train,Tuned Segment Ensemble,Weighted Ensemble,Medium ($50K-$250K),224933,128183.68220314494,110000.0,128187.1659523987,36386.27351891729,30845.789047455473,45696.55003852197,0.3030008759573418,0.36138626572008775,3.483749253741597
Train,Tuned Best-by-Segment,XGBoost,Large ($250K-$750K),98531,434914.88298099075,400000.0,434912.0,103661.28327664644,93253.375,125719.35785688361,0.17215895931147251,0.284130670877308,-2.8971830566014756
Train,Tuned Segment Ensemble,Weighted Ensemble,Large ($250K-$750K),98531,434914.88298099075,400000.0,434978.9485991401,103770.95324516321,93352.34239603148,125868.99587631157,0.1701871036145628,0.2844274621673421,64.06561814932923
Train,Tuned Best-by-Segment,XGBoost,Very Large (>$750K),28603,1149702.1809950005,1000000.0,1149539.0,224441.1206057931,174798.5,311103.46510854526,0.4208534643067956,0.2328836021287676,-163.201650613572
Train,Tuned Segment Ensemble,Weighted Ensemble,Very Large (>$750K),28603,1149702.1809950005,1000000.0,1149655.2213968886,230299.15916354183,180398.06613916717,326310.1585658787,0.3628525420725811,0.23753288969165007,-46.95959811185595
Validation,Tuned Best-by-Segment,HistGradientBoosting,Small (<$50K),56006,28606.7171017391,25000.0,28529.025489362146,9986.517281319286,9085.477877370897,12107.316619729152,0.34471142280879885,0.5386954414928126,-77.69161237695091
Validation,Tuned Segment Ensemble,Weighted Ensemble,Small (<$50K),56006,28606.7171017391,25000.0,28550.28078031552,10191.956867893403,9436.90988888573,12252.114449506485,0.32894380838128323,0.5502991655867542,-56.436321423581646
Validation,Tuned Best-by-Segment,HistGradientBoosting,Medium ($50K-$250K),56094,128263.80361535994,110000.0,128421.03558359075,36504.76635970133,30432.388458533875,46015.49404881554,0.29472770313323926,0.36356864749858864,157.23196823083066
Validation,Tuned Segment Ensemble,Weighted Ensemble,Medium ($50K-$250K),56094,128263.80361535994,110000.0,128356.40980797769,36737.99272566196,31115.544738802717,46148.666596209805,0.29063956627599585,0.36497289335275906,92.60619261776907
Validation,Tuned Best-by-Segment,XGBoost,Large ($250K-$750K),24602,434429.76066986425,400000.0,434452.09375,105699.62236810016,95629.5,128231.26651580443,0.1290554567726665,0.2900810296727474,22.28595998292822
Validation,Tuned Segment Ensemble,Weighted Ensemble,Large ($250K-$750K),24602,434429.76066986425,400000.0,434527.3719867589,105638.04020715252,95557.33247850751,128161.98311420763,0.12999634585211284,0.2899460105906461,97.61131689466971
Validation,Tuned Best-by-Segment,XGBoost,Very Large (>$750K),7165,1142306.2854152129,1000000.0,1148437.625,243609.27680565248,182748.125,354008.36153763393,0.23399553368304415,0.2551101744843798,6131.355033147243
Validation,Tuned Segment Ensemble,Weighted Ensemble,Very Large (>$750K),7165,1142306.2854152129,1000000.0,1148136.8518290224,244356.51866408892,185634.38765263162,353837.20729908295,0.23473604284846528,0.25484940914545035,5830.566413809704
Test,Tuned Best-by-Segment,HistGradientBoosting,Small (<$50K),69933,28625.453576995125,25000.0,28583.375221080492,9963.942085414465,9051.504403563624,12091.884446539683,0.34329828296238385,0.5416092843162197,-42.078355914634116
Test,Tuned Segment Ensemble,Weighted Ensemble,Small (<$50K),69933,28625.453576995125,25000.0,28605.511807833187,10174.213115813556,9400.687874108771,12248.264438285883,0.3262026733653648,0.5540538050569974,-19.941769161931713
Test,Tuned Best-by-Segment,HistGradientBoosting,Medium ($50K-$250K),70098,128134.75746811606,110000.0,128200.73814014584,36525.32460273894,30494.254343418652,46046.33213480082,0.2919789379355816,0.3632553964906034,65.9806720297708
Test,Tuned Segment Ensemble,Weighted Ensemble,Medium ($50K-$250K),70098,128134.75746811606,110000.0,128142.41629066983,36730.79901738656,31103.189033530958,46174.90852851544,0.28801936547701323,0.36456106917500924,7.658822553761985
Test,Tuned Best-by-Segment,XGBoost,Large ($250K-$750K),30820,433880.795587281,400000.0,434761.75,105990.63297878813,95224.5625,128620.71519310244,0.13635845140681924,0.290291418963152,880.9771343689163
Test,Tuned Segment Ensemble,Weighted Ensemble,Large ($250K-$750K),30820,433880.795587281,400000.0,434859.05786877597,105959.25238686301,95371.38043586846,128582.06844182101,0.13687737132852928,0.29023775649374284,978.2622814949532
Test,Tuned Best-by-Segment,XGBoost,Very Large (>$750K),8982,1144868.576931641,1000000.0,1146286.125,238943.91812792252,181817.625,342497.6012748605,0.2714095385747387,0.25015226430163884,1417.6113337786685
Test,Tuned Segment Ensemble,Weighted Ensemble,Very Large (>$750K),8982,1144868.576931641,1000000.0,1146732.2463173897,240479.274097843,186058.0552872254,343925.64165229956,0.2653211707705697,0.25060567742665946,1863.6693857488249
