Split,Strategy,Model,Segment,Rows,Actual Mean,Actual Median,Predicted Mean,MAE,Median AE,RMSE,R2,RMSLE,Mean Error (Pred - Actual)
Train,Tuned Best-by-Segment,Best Segment Models,All Loans,575464,192798.29767978535,90000.0,192792.50649272403,46777.72348225939,18914.84782353251,91545.19447757068,0.8958766384823191,0.4195077956940513,-5.79118706134283
Train,Tuned Segment Ensemble,Weighted Ensemble,All Loans,575464,192798.29767978535,90000.0,192805.8318520302,47331.39705305415,19317.57676044073,94222.55294475907,0.8896971302631742,0.42935007139410536,7.534172244850031
Train,Global LightGBM,LightGBM,All Loans,575464,192798.29767978535,90000.0,192825.1775566259,96569.06233006757,43427.87774540158,180003.5138699765,0.597432191526409,0.945190270819493,26.879876840544373
Train,Routed Tuned Segment Ensemble,Bucket Classifier + Ensemble,All Loans,575464,192798.29767978535,90000.0,239226.5173163821,114890.1397525977,38095.07595472448,229254.55055049376,0.3470002621210104,0.7782488064923255,46428.21963659677
Validation,Tuned Segment Ensemble,Weighted Ensemble,All Loans,143867,192326.5453856687,90000.0,192647.75400977462,48526.16111895768,19485.263742639567,99664.55080168365,0.8752720739411529,0.43293896076553595,321.2086241058841
Validation,Tuned Best-by-Segment,Best Segment Models,All Loans,143867,192326.5453856687,90000.0,192666.77637389506,48328.566167718476,19244.128642443655,99679.16231321954,0.8752354993093774,0.42677634235080547,340.2309882263249
Validation,Global LightGBM,LightGBM,All Loans,143867,192326.5453856687,90000.0,192353.44254710837,98103.30188492947,43732.23023951797,184204.15991350694,0.5739298185542818,0.9581027341700055,26.89716143968573
Validation,Routed Tuned Segment Ensemble,Bucket Classifier + Ensemble,All Loans,143867,192326.5453856687,90000.0,238665.6094520149,120835.4284022162,39690.93998325447,238452.27952099865,0.28602134118721156,0.7941102663104571,46339.0640663462
Test,Tuned Best-by-Segment,Best Segment Models,All Loans,179833,192619.0952272386,90000.0,192850.23827531666,48211.31909545709,19303.739163237595,97864.56174964971,0.8801668677420185,0.4278742117595687,231.14304807802117
Test,Tuned Segment Ensemble,Weighted Ensemble,All Loans,179833,192619.0952272386,90000.0,192875.06494547188,48444.48901958425,19530.867045016057,98136.79476115851,0.8794992530821693,0.4344595558621375,255.96971823326456
Test,Global LightGBM,LightGBM,All Loans,179833,192619.0952272386,90000.0,192724.85768435212,98060.62542877135,43466.28987837603,183883.68986055875,0.5769298156661982,0.9400644118717029,105.76245711353981
Test,Routed Tuned Segment Ensemble,Bucket Classifier + Ensemble,All Loans,179833,192619.0952272386,90000.0,238673.6415486341,120852.8688006833,39728.86517136874,238053.75879310913,0.2909512650481185,0.793162798170162,46054.5463213955
