Segment,Model,Weight
Small (<$50K),HistGradientBoosting,0.3442693786163616
Small (<$50K),LightGBM,0.332726412044645
Small (<$50K),XGBoost,0.32300420933899354
Medium ($50K-$250K),HistGradientBoosting,0.33745671205305194
Medium ($50K-$250K),XGBoost,0.33617112365299623
Medium ($50K-$250K),LightGBM,0.32637216429395177
Large ($250K-$750K),XGBoost,0.3333809470633464
Large ($250K-$750K),HistGradientBoosting,0.3333492646660966
Large ($250K-$750K),LightGBM,0.3332697882705569
Very Large (>$750K),XGBoost,0.33618040244577346
Very Large (>$750K),HistGradientBoosting,0.3357303655028163
Very Large (>$750K),LightGBM,0.3280892320514104
