Segment,Model,Best Tuning RMSE,Tune Seconds,Final Fit Seconds,Best Params
Small (<$50K),LightGBM,12467.293579742282,3.94,4.29,"{'learning_rate': 0.05353643915656908, 'num_leaves': 43, 'max_depth': 7, 'min_child_samples': 72, 'min_child_weight': 0.09153152164233955, 'subsample': 0.9248115864875548, 'colsample_bytree': 0.719885823755426, 'reg_alpha': 0.053207417808367824, 'reg_lambda': 0.20832527054509759, 'min_split_gain': 0.013935123815999317}"
Small (<$50K),XGBoost,13122.671279649358,9.81,10.05,"{'n_estimators': 258, 'learning_rate': 0.11272159745458465, 'max_depth': 9, 'min_child_weight': 2.0589728197687913, 'subsample': 0.7136387385224853, 'colsample_bytree': 0.7141915784487018, 'reg_alpha': 0.004100126498016682, 'reg_lambda': 0.2599923558092662, 'gamma': 0.17277800745684632, 'max_bin': 240}"
Small (<$50K),HistGradientBoosting,12373.36737126516,11.68,24.68,"{'max_iter': 226, 'learning_rate': 0.09085027856438452, 'max_leaf_nodes': 54, 'max_depth': 11, 'min_samples_leaf': 18, 'l2_regularization': 13.852278657784982}"
Medium ($50K-$250K),LightGBM,46820.80821668275,4.36,5.15,"{'learning_rate': 0.015656003500080774, 'num_leaves': 156, 'max_depth': 13, 'min_child_samples': 46, 'min_child_weight': 0.006053891567028103, 'subsample': 0.7141915784487018, 'colsample_bytree': 0.7564847850358383, 'reg_alpha': 0.06049919340010417, 'reg_lambda': 0.026289474639386842, 'min_split_gain': 0.08736874205941257}"
Medium ($50K-$250K),XGBoost,46927.852239918546,10.34,79.74,"{'n_estimators': 495, 'learning_rate': 0.0200478021592459, 'max_depth': 5, 'min_child_weight': 3.4766491505926194, 'subsample': 0.8096244944759625, 'colsample_bytree': 0.9248115864875548, 'reg_alpha': 0.0011441335177172329, 'reg_lambda': 0.23256145462018823, 'gamma': 0.236965827544817, 'max_bin': 145}"
Medium ($50K-$250K),HistGradientBoosting,46822.72119650069,14.52,56.7,"{'max_iter': 575, 'learning_rate': 0.023326661313163164, 'max_leaf_nodes': 27, 'max_depth': 5, 'min_samples_leaf': 65, 'l2_regularization': 0.06049919340010417}"
Large ($250K-$750K),LightGBM,129978.7942474364,6.53,2.08,"{'learning_rate': 0.05353643915656908, 'num_leaves': 43, 'max_depth': 7, 'min_child_samples': 72, 'min_child_weight': 0.09153152164233955, 'subsample': 0.9248115864875548, 'colsample_bytree': 0.719885823755426, 'reg_alpha': 0.053207417808367824, 'reg_lambda': 0.20832527054509759, 'min_split_gain': 0.013935123815999317}"
Large ($250K-$750K),XGBoost,129881.09082995806,58.84,15.38,"{'n_estimators': 495, 'learning_rate': 0.0200478021592459, 'max_depth': 5, 'min_child_weight': 3.4766491505926194, 'subsample': 0.8096244944759625, 'colsample_bytree': 0.9248115864875548, 'reg_alpha': 0.0011441335177172329, 'reg_lambda': 0.23256145462018823, 'gamma': 0.236965827544817, 'max_bin': 145}"
Large ($250K-$750K),HistGradientBoosting,130406.78503618324,12.78,25.38,"{'max_iter': 575, 'learning_rate': 0.023326661313163164, 'max_leaf_nodes': 27, 'max_depth': 5, 'min_samples_leaf': 65, 'l2_regularization': 0.06049919340010417}"
Very Large (>$750K),LightGBM,353541.1807314027,6.92,1.26,"{'learning_rate': 0.015656003500080774, 'num_leaves': 156, 'max_depth': 13, 'min_child_samples': 46, 'min_child_weight': 0.006053891567028103, 'subsample': 0.7141915784487018, 'colsample_bytree': 0.7564847850358383, 'reg_alpha': 0.06049919340010417, 'reg_lambda': 0.026289474639386842, 'min_split_gain': 0.08736874205941257}"
Very Large (>$750K),XGBoost,355244.6231042842,14.35,4.48,"{'n_estimators': 495, 'learning_rate': 0.0200478021592459, 'max_depth': 5, 'min_child_weight': 3.4766491505926194, 'subsample': 0.8096244944759625, 'colsample_bytree': 0.9248115864875548, 'reg_alpha': 0.0011441335177172329, 'reg_lambda': 0.23256145462018823, 'gamma': 0.236965827544817, 'max_bin': 145}"
Very Large (>$750K),HistGradientBoosting,356596.6291271914,14.07,8.08,"{'max_iter': 394, 'learning_rate': 0.027485103675404694, 'max_leaf_nodes': 55, 'max_depth': 4, 'min_samples_leaf': 63, 'l2_regularization': 0.008751754379612288}"
